age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
, Private,29,25, High school graduate,0, Not in universe, Widowed, Medical except hospital, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, PT for non-econ reasons usually FT,0,0,7, Joint both under 65, Not in universe,North Carolina, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,1,52,95,1
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,2, Nonfiler, Not in universe,North Dakota, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
, State government,42,10, High school graduate,0, Not in universe, Married-civilian spouse present, Education, Professional specialty, White, All other, Female, No, Not in universe, Full-time schedules,0,1,1856, Joint both under 65, Not in universe,Oregon, Householder, Spouse of householder, Not in universe under 1 year old,2, Not in universe, Cuba, ?, Germany, Native- Born abroad of American Parent(s),2, Not in universe,2,52,95,1
,Private,11,31,Associates degree-occup /vocational,0,Not in universe,Married-civilian spouse present,Manufacturing-durable goods,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,4,Joint both under 65,Not in universe,Louisiana,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,48,95,0
, Private,23,32, High school graduate,0, Not in universe, Divorced, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, Other, All other, Male, No, Not in universe, Children or Armed Forces,0,0,1, Head of household, South,Nebraska, Householder, Householder, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
,Private,29,37,10th grade,0,Not in universe,Separated,Retail trade,Transportation and material moving,White,All other,Male,Not in universe,New entrant,Unemployed full-time,6,0,7,Nonfiler,Not in universe,Idaho,Householder,Other relative of householder,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,18,95,0
, Not in universe,0,0, High school graduate,0, College or university, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,2, Nonfiler, Not in universe,Nevada, Child 18+ never marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,13,95,0
,Not in universe,0,0,High school graduate,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,8,0,4,Nonfiler,Not in universe,Rhode Island,Other Rel 18+ never marr not in subfamily,Child 18 or older,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
, Not in universe,0,0, Children,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,2, Nonfiler, Not in universe,Kentucky, Other Rel 18+ ever marr not in subfamily, Other relative of householder, Yes,0, Not in universe, ?, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
, Private,30,39, High school graduate,1647, Not in universe, Married-civilian spouse present, Transportation, Transportation and material moving, White, Other Spanish, Male, Yes, Other job loser, PT for econ reasons usually PT,5,0,1, Joint both under 65, Not in universe,South Dakota, Householder, Householder, Yes,5, Not in universe, United-States, Mexico, United-States, Foreign born- Not a citizen of U S ,0, Not in universe,2,49,94,0
,Private,32,16,High school graduate,0,Not in universe,Married-civilian spouse present,Retail trade,Sales,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Joint both under 65,Not in universe,Alaska,Householder,Householder,No,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
, Not in universe,0,0, High school graduate,1, College or university, Never married, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,6, Nonfiler, Not in universe,Georgia, Child 18+ never marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,0, Not in universe, United-States, ?, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
,Private,29,37,High school graduate,1,Not in universe,Married-civilian spouse present,Manufacturing-nondurable goods,Precision production craft & repair,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,6,0,3,Joint both under 65,Not in universe,Alaska,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
, Private,33,37, High school graduate,0, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Male, Not in universe, Not in universe, Full-time schedules,1,0,6, Joint both under 65, Not in universe,West Virginia, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
, Not in universe,0,0, Some college but no degree,0, Not in universe, Widowed, Not in universe or children, Technicians and related support, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,9, Single, Not in universe,Connecticut, Nonfamily householder, Householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,1,0,94,0
,Private,33,30,High school graduate,506,Not in universe,Never married,Retail trade,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,9,0,2,Single,Not in universe,Connecticut,Child 18+ never marr Not in a subfamily,Group Quarters- Secondary individual,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,19,94,0
, Private,43,37, Some college but no degree,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Other service, White, All other, Female,Yes,Re-entrant, Children or Armed Forces,4,0,2, Joint both under 65, Not in universe,Ohio, Householder, Householder, Yes,5, Not in universe, Scotland, Thailand,Canada, Foreign born- U S citizen by naturalization,0, Not in universe,2,42,94,0
,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,Mexican-American,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,5,Nonfiler,Not in universe,Alabama,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,Dominican-Republic,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
, State government,30,3, High school graduate,0, Not in universe, Married-civilian spouse present, Public administration, Other service, White, All other, Male, Not in universe, New entrant, Children or Armed Forces,0,0,0, Joint both under 65, South,Nevada, Spouse of householder, Spouse of householder, No,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,38,94,0
, Not in universe,0,0, 9th grade,0, Not in universe, Never married, Not in universe or children, Not in universe, Other, Mexican (Mexicano), Male, Not in universe, New entrant, Not in labor force,7,0,3, Nonfiler, Not in universe,Montana, RP of unrelated subfamily, Other relative of householder, Not in universe under 1 year old,0,Father only present, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,95,0
, Private,10,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, Other, All other, Male, No, Not in universe, Full-time schedules,0,0,4, Joint both under 65, Not in universe,Montana, Householder, Householder, No,6, Not in universe, Philippines, South Korea, Hong Kong, Foreign born- U S citizen by naturalization,0, Not in universe,2,48,94,1
, Private,0,0, Bachelors degree(BA AB BS),0, Not in universe, Married-spouse absent, Not in universe or children, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,5939, Single, Not in universe,Florida, Nonfamily householder, Householder, Not in universe under 1 year old,1, Not in universe, United-States, ?, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
, Self-employed-incorporated,40,27, High school graduate,0, Not in universe, Married-civilian spouse present, Finance insurance and real estate, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,10, Joint both under 65, Not in universe,Nebraska, Spouse of householder, Spouse of householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,19,94,0
,Not in universe,0,0,11th grade,0,Not in universe,Never married,Not in universe or children,Not in universe,Black,Central or South American,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Nonfiler,Not in universe,Nebraska, Grandchild <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,Haiti,Dominican-Republic,United-States,Foreign born- Not a citizen of U S,0,Not in universe,2,0,95,0
,Private,3,34,Some college but no degree,856,Not in universe,Married-civilian spouse present,Construction,Other service,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,5,Joint both under 65,Not in universe,Georgia,Householder,Householder,Not in universe under 1 year old,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,No,1,52,95,0
,Private,3,34,5th or 6th grade,0,Not in universe,Divorced,Construction,Precision production craft & repair,White,Central or South American,Male,Not in universe,Job loser - on layoff,Children or Armed Forces,6,0,3,Single,Not in universe,Pennsylvania,Householder,Householder,Yes,2,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,25,94,0
, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White,, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,2, Joint both under 65, Not in universe,Montana, Householder, Householder, Yes,0, Not in universe, El-Salvador, Poland, Ecuador, Native- Born in the United States,0, Not in universe,2,0,94,0
,Private,42,36,High school graduate,0,Not in universe,Married-civilian spouse present,Hospital services,Professional specialty,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,6,Joint both under 65,Not in universe,Virginia,Spouse of householder,Spouse of householder,Yes,6,Not in universe,Cuba,Mexico,United-States,Native- Born in the United States,0,Not in universe,2,38,94,1
, Not in universe,0,0, Associates degree-occup /vocational,1, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,8,0,3, Joint both under 65, Not in universe,New Mexico, Householder, Spouse of householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,4,0,4,Nonfiler,Not in universe,Rhode Island,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
, Private,35,25, High school graduate,0, Not in universe, Married-civilian spouse present, Private household services, Protective services, White, Central or South American, Female, Not in universe, Not in universe, Full-time schedules,0,0,4, Joint both under 65, Not in universe,South Dakota, Spouse of householder, Spouse of householder, Not in universe under 1 year old,5, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,0
, Private,43,26, High school graduate,0, Not in universe, Widowed, Business and repair services,Private household services, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,2, Single, Not in universe,Utah, Nonfamily householder, Householder, Not in universe under 1 year old,5, Not in universe, Italy, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
,Private,33,2,High school graduate,1,Not in universe,Married-civilian spouse present,Business and repair services,Sales,White,Mexican (Mexicano),Female,Not in universe,Not in universe,Full-time schedules,4,0,2,Joint both under 65,Not in universe,Michigan,Spouse of householder,Spouse of householder,Not in universe under 1 year old,1,Not in universe,Mexico,Mexico,Mexico,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,1
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Not in labor force,15,0,6,Nonfiler,Not in universe,Illinois,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
,Private,43,6,Prof school degree (MD DDS DVM LLB JD),0,Not in universe,Married-civilian spouse present,Medical except hospital,Professional specialty,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,3,0,2,Joint both under 65,Not in universe,Colorado,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,37,94,1
,Private,28,36,Some college but no degree,0,Not in universe,Never married,Transportation,Transportation and material moving,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,1,0,2,Single,Not in universe,Nebraska,Householder,Householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
, Private,30,2, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Other service, White, All other, Female, Not in universe, Not in universe, Full-time schedules,2,0,8, Joint both under 65, Not in universe,Georgia, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,0
,Private,42,33,Some college but no degree,0,Not in universe,Married-civilian spouse present,Transportation,Private household services,White,All other,Male,Not in universe,Other job loser,Full-time schedules,3,0,0,Joint both under 65,Not in universe,Georgia,Householder,Householder,Not in universe under 1 year old,2,Not in universe, Nicaragua,India,China,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,0
,Private,32,13,Bachelors degree(BA AB BS),0,Not in universe,Married-civilian spouse present,Education,Sales,White,All other,Male,Not in universe,Not in universe,Full-time schedules,7491,0,6,Joint both under 65,Not in universe,South Dakota,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
, Private,29,12, Doctorate degree(PhD EdD),0, Not in universe, Never married, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Full-time schedules,6,0,8, Joint both under 65, Not in universe,Massachusetts, Householder, Householder, Not in universe under 1 year old,2, Not in universe, Philippines, ?, Philippines, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,0
, Not in universe,0,0, 10th grade,0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Nonfiler, Northeast,Georgia, Grandchild <18 never marr not in subfamily, Other relative of householder, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
, Private,33,30, High school graduate,0, Not in universe, Never married, Business and repair services, Other service, White, All other, Female, Not in universe, Re-entrant, Children or Armed Forces,7,0,8, Single, South,Kansas, Child 18+ never marr Not in a subfamily, Child 18 or older, Yes,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,25,94,0
, Private,48,3, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Other service, White, All other, Male, Not in universe, Not in universe, PT for econ reasons usually PT,3,0,2315, Joint both 65+, Not in universe,Delaware, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,10,0,7,Nonfiler,Not in universe,Maine,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,5,0,6,Nonfiler,Not in universe,Kansas,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
,Private,24,36,5th or 6th grade,1549,Not in universe,Married-civilian spouse present,Manufacturing-nondurable goods,Machine operators assmblrs & inspctrs,White,Mexican (Mexicano),Male,Not in universe,Re-entrant,Children or Armed Forces,0,0,6,Joint both under 65,Not in universe,Georgia,Householder,Householder,Yes,6,Not in universe,Mexico,Mexico,Mexico,Native- Born in the United States,0,Not in universe,2,52,94,0
,Federal government,50,8,Bachelors degree(BA AB BS),0,Not in universe,Widowed,Public administration,Professional specialty,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,0,7,Joint both under 65,Not in universe,Oklahoma,Nonfamily householder,Householder,Not in universe under 1 year old,2,Not in universe,Canada,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
, Private,29,27, 12th grade no diploma,0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Adm support including clerical, White, Puerto Rican, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe,Hawaii, Householder, Householder, Yes,5, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,52,94,0
,Not in universe,0,0,11th grade,0,High school,Never married,Not in universe or children,Not in universe,Black,All other,Male,Not in universe,Not in universe,Not in labor force,6,1,2,Nonfiler,Not in universe,Georgia,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
,Private,30,38,High school graduate,0,Not in universe,Married-civilian spouse present,Manufacturing-nondurable goods,Machine operators assmblrs & inspctrs,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,6,0,3,Joint both under 65,Not in universe,Utah,Spouse of householder,Spouse of householder,Yes,4,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,1
, Private,33,19, 10th grade,0, High school, Never married, Retail trade, Handlers equip cleaners etc , White, All other, Female, Not in universe, Re-entrant, Children or Armed Forces,2,0,7, Single, Northeast,Oklahoma, Child 18+ never marr Not in a subfamily, Child 18 or older, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,19,94,0
,Private,30,37,High school graduate,0,Not in universe,Married-civilian spouse present,Construction,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,5,0,0,Joint both under 65,Not in universe,Utah,Householder,Householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,0
, Private,33,17, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,2, Joint both under 65, Not in universe,Alabama, Spouse of householder, Spouse of householder, Yes,1, Not in universe, United-States, ?, United-States, Native- Born abroad of American Parent(s),0, Not in universe,2,52,94,0
,Private,2,44,High school graduate,495,Not in universe,Married-civilian spouse present,Agriculture,Farming forestry and fishing,White,All other,Male,Not in universe,Not in universe,Full-time schedules,1,1,3,Joint both under 65,Not in universe,Arizona,Spouse of householder,Spouse of householder,Not in universe under 1 year old,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,10,0,4, Nonfiler, Not in universe,Minnesota, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
,Private,33,29,10th grade,0,High school,Never married,Utilities and sanitary services,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Joint both under 65,Not in universe,Maine,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,1,52,95,0
,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,6,0,3,Nonfiler,Not in universe,Mississippi,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
, Self-employed-incorporated,35,11, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Business and repair services, Professional specialty, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Children or Armed Forces,7517,0,2397, Joint both under 65, West,Massachusetts, Householder, Householder, Yes,6, Not in universe,Ireland, Cuba, India, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,94,1
, Private,28,34, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,4, Joint both under 65, Not in universe,Oklahoma,Grandchild 18+ ever marr RP of subfamily, Spouse of householder, Not in universe under 1 year old,5, Not in universe, India, Mexico, Columbia, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,0
,Private,37,25,10th grade,0,Not in universe,Married-civilian spouse present,Retail trade,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Joint one under 65 & one 65+,Not in universe,California,Spouse of householder,Spouse of householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,19,94,0
, Private,3,35, High school graduate,0, Not in universe, Never married, Personal services except private HH, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,9,0,6, Single, West,Texas, Secondary individual, Nonrelative of householder, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
, Private,43,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Medical except hospital, Professional specialty, White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Joint both under 65, Not in universe,Pennsylvania, Spouse of householder, Spouse of householder, Yes,6, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,52,94,0
,Not in universe,0,0,High school graduate,0,Not in universe,Widowed,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,0,1,2,Joint both under 65,Not in universe,Kansas,Spouse of householder,Spouse of householder,Not in universe under 1 year old,0,Not in universe,Germany,,United-States,Foreign born- Not a citizen of U S,0,Not in universe,2,0,95,0
, Private,12,9, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, No, Not in universe, Full-time schedules,3,0,6, Joint both under 65, Not in universe,Oregon, Householder, Householder, Not in universe under 1 year old,4, Not in universe, United-States, Iran, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
,Private,41,2,Bachelors degree(BA AB BS),0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,2,Joint both under 65,Not in universe,Kentucky,Spouse of householder,Spouse of householder,No,5,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
