age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
68, Private,36,37, High school graduate,0, Not in universe, Married-civilian spouse present, Retail trade, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,9, Joint both under 65, Not in universe,North Dakota, Spouse of householder, Spouse of householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,1,3,94,0
29, Not in universe,0,0, Some college but no degree,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,1, Nonfiler, Not in universe,Delaware, Other Rel 18+ ever marr not in subfamily, Nonrelative of householder, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,20,94,0
16,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,1,Nonfiler,Not in universe,Georgia,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,Dominican-Republic,Japan,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
35, Private,51,29, High school graduate,1, Not in universe, Married-civilian spouse present,Finance insurance and real estate,Technicians and related support, White, All other, Female,Yes, Not in universe, Children or Armed Forces,0,0,6, Joint both under 65,Not in universe,Vermont, Spouse of householder, Spouse of householder, Yes,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
75,Not in universe,0,0,High school graduate,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,14,0,6,Joint both 65+,Not in universe,Rhode Island,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,No,1,0,94,0
12,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Puerto Rican,Male,Not in universe,Not in universe,Children or Armed Forces,5,0,0,Nonfiler,Not in universe,Wyoming,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,,El-Salvador,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
13, Self-employed-not incorporated,33,10, 10th grade,0, High school, Never married, Retail trade, Other service, White, All other, Male, Not in universe, Not in universe, Full-time schedules,5,0,3, Single, Not in universe,Massachusetts, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,2, Mother only present, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,25,95,0
34, Private,33,26, High school graduate,527, Not in universe, Married-civilian spouse present, Retail trade, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules,0,0,8, Joint both under 65, Not in universe,Montana, Spouse of householder, Householder, Not in universe under 1 year old,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
38, Private,38,25, High school graduate,0, Not in universe, Married-civilian spouse present, Hospital services, Adm support including clerical, White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,5, Joint both under 65, Northeast,Montana, Spouse of householder, Spouse of householder, Yes,5, Not in universe, Canada, Mexico, Germany, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,52,94,0
75, Private,44,30, High school graduate,0, Not in universe, Married-civilian spouse present, Medical except hospital, Other service, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,1, Joint both under 65, Not in universe,Iowa, Householder, Householder, No,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,39,94,0
16, Not in universe,0,0, 10th grade,0, College or university, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,9, Nonfiler, Not in universe,Missouri, Child 18+ never marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
2, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,6, Nonfiler, Not in universe,South Carolina, Child <18 never marr not in subfamily, Other relative of householder, Yes,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
35,Private,11,2,High school graduate,802,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Executive admin and managerial,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,1,0,5,Joint both under 65,Not in universe,Ohio,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,1
57, Private,29,0, High school graduate,0, Not in universe, Widowed, Not in universe or children, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,7, Single, Not in universe,Maryland, Nonfamily householder, Householder, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,37,94,0
65,Not in universe,0,0,Some college but no degree,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,1,0,4,Joint both under 65,Not in universe,Delaware,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
67, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,4,0,5317, Joint both under 65, Not in universe,Connecticut, Householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
55,Private,34,26,Associates degree-academic program,0,Not in universe,Married-civilian spouse present,Retail trade,Sales,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,1,7,Joint both under 65,Not in universe,North Dakota,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,41,95,0
11,Private,33,24,10th grade,1,College or university,Never married,Retail trade,Adm support including clerical,White,All other,Female, Yes,Not in universe,Full-time schedules,0,0,3,Single,Not in universe,New York,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,Canada,England,United-States,Foreign born- Not a citizen of U S,0,Not in universe,2,39,95,0
3,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,8,0,3,Nonfiler,Not in universe,Alaska,Grandchild <18 never marr child of subfamily RP,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
34,Private,36,25,Associates degree-occup /vocational,0,Not in universe,Married-civilian spouse present,Education,Adm support including clerical,White,All other,Female,Yes,Not in universe,Full-time schedules,0,0,5,Joint both under 65,Not in universe,Arizona,Spouse of householder,Spouse of householder,Yes,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,0
18, Never worked,33,0, 10th grade,0, High school, Never married, Retail trade, Other service, White, Mexican (Mexicano), Male, No, Not in universe, Unemployed full-time,0,0,4, Nonfiler, Not in universe,Arizona, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Mexico, Mexico, United-States, Native- Born in the United States,2, Not in universe,2,12,95,0
37,Private,42,10,Prof school degree (MD DDS DVM LLB JD),0,Not in universe,Separated,Medical except hospital,Professional specialty,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,7550,0,6,Head of household,Not in universe,Missouri,Householder,Householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,37,94,0
27, Private,10,3, High school graduate,0, Not in universe, Never married, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,4,0,9, Single, Not in universe,Oklahoma, Secondary individual, Nonrelative of householder, No,6, Not in universe, Jamaica, El-Salvador, United-States, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,94,1
3, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,7,0,4, Nonfiler, Not in universe,Utah, Child <18 never marr not in subfamily, Child under 18 never married, Yes,0, Both parents present, United-States,Jamaica, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
52, Private,29,3, Doctorate degree(PhD EdD),1649, Not in universe, Married-civilian spouse present, Transportation, Precision production craft & repair, White, All other, Male, No, Not in universe, Full-time schedules,1,0,4, Joint both under 65, Not in universe,North Dakota, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,1
52,Self-employed-not incorporated,35,42,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,6,Joint both under 65,Not in universe,Nevada,Householder,Householder,Yes,1,Not in universe,Panama,India,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
53, Federal government,29,39, High school graduate,0, Not in universe, Married-civilian spouse present, Transportation, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,2, Joint both under 65, Not in universe,Pennsylvania, Householder, Householder, Yes,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,40,94,0
53, Private,3,39, High school graduate,1586, Not in universe, Never married, Agriculture, Precision production craft & repair, White, All other, Male, No,Job leaver, Children or Armed Forces,5,0,8, Single, Not in universe,Rhode Island, Nonfamily householder, Householder, Yes,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,1,52,94,0
1, Not in universe,0,0, Children,1, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,3, Nonfiler, Not in universe,West Virginia, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
47,Private,38,26,Some college but no degree,0,Not in universe,Married-civilian spouse present,Hospital services,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,4,0,2,Joint both under 65,Not in universe,Maine,Spouse of householder,Spouse of householder,Not in universe under 1 year old,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,38,95,0
8,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,2,0,0,Nonfiler,Not in universe,New Mexico,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
33, Private,30,3, Doctorate degree(PhD EdD),0, Not in universe, Married-civilian spouse present, Transportation, Executive admin and managerial, White,, Male, Yes, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe,Virginia, Householder, Householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Foreign born- Not a citizen of U S ,2, Not in universe,2,52,95,1
52, Private,29,36, High school graduate,1476, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Precision production craft & repair, White, All other, Male, No, Not in universe, Full-time schedules,0,0,6, Joint both under 65, Not in universe,Kansas, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,1
62, Private,2,3, Prof school degree (MD DDS DVM LLB JD),0, Not in universe, Married-civilian spouse present, Wholesale trade, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,7443,0,3, Joint both under 65, Not in universe,Oregon, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
28, Private,8,10, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Never married, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, White, All other, Male, No, Not in universe, Full-time schedules,13,0,9, Single, Not in universe,South Dakota, Secondary individual, Nonrelative of householder, Not in universe under 1 year old,6, Not in universe, Portugal, United-States, United-States, Native- Born abroad of American Parent(s),0, Not in universe,2,52,95,1
15,Not in universe,0,0,Some college but no degree,0,College or university,Never married,Not in universe or children,Not in universe,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,1,0,11,Nonfiler,Northeast,Pennsylvania,Child 18+ never marr Not in a subfamily,Child 18 or older,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,17,94,0
42,Private,42,10,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Widowed,Medical except hospital,Professional specialty,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,0,197,Single,Not in universe,Alaska,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
59,Private,0,26,10th grade,0,Not in universe,Married-civilian spouse present,Medical except hospital,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Unemployed full-time,0,0,6,Joint both under 65,Not in universe,Nevada,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,3,95,0
30, Private,30,38, High school graduate,0, Not in universe, Never married, Manufacturing-durable goods, Sales, White, All other, Male, Not in universe, Not in universe, PT for econ reasons usually FT,0,0,6, Single, Not in universe,North Carolina, Nonfamily householder, Householder, Yes,6, Not in universe, Peru,Nicaragua, United-States, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,94,0
24,Private,3,36,High school graduate,1,Not in universe,Married-civilian spouse present,Construction,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,12,0,0,Joint both under 65,Not in universe,Hawaii,Householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
1,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,,Male,Not in universe,Not in universe,Children or Armed Forces,2,0,0,Nonfiler,Not in universe,Oregon,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
56, Private,30,23, Some college but no degree,1, Not in universe, Married-civilian spouse present, Retail trade, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Full-time schedules,5,0,3, Joint both under 65, Not in universe,Virginia, Spouse of householder, Spouse of householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
32, Private,37,32, High school graduate,1, Not in universe, Separated, Personal services except private HH, Sales, White, All other, Male, Yes, Other job loser, Children or Armed Forces,2,0,6, Head of household, West,Kentucky, Householder, Householder, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,19,94,0
18, Private,33,27, High school graduate,506, Not in universe, Never married, Retail trade, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules,1,0,7, Head of household, Not in universe,Iowa, Child 18+ never marr Not in a subfamily, Other relative of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
13, Private,33,28, 11th grade,0, High school, Never married, Retail trade, Other service, White, All other, Male, No, Other job loser, Full-time schedules,0,0,3, Single, Not in universe,Georgia, Child 18+ never marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,2, Not in universe, United-States, ?, United-States, Native- Born in the United States,2, Not in universe,2,40,95,0
2,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,8,0,4,Nonfiler,Not in universe,Virginia,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
63, Private,29,37, High school graduate,0, Not in universe, Married-civilian spouse present, Mining, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Not in labor force,7,0,2211, Joint both under 65, Not in universe,Massachusetts, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,0
25, Private,46,25, High school graduate,0, Not in universe, Married-civilian spouse present, Retail trade, Adm support including clerical, Black, All other, Female, No, Not in universe, Children or Armed Forces,0,0,2, Head of household, Not in universe,Kentucky, Householder, Spouse of householder, Yes,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,25,94,0
24,Not in universe,0,0,10th grade,1,College or university,Never married,Not in universe or children,Not in universe,Black,All other,Male,Not in universe,Not in universe,Not in labor force,2,0,2,Nonfiler,Not in universe,Ohio,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
