age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
45,Private,33,43,10th grade,528,Not in universe,Never married,Retail trade,Handlers equip cleaners etc,White,Mexican (Mexicano),Male,Not in universe,Not in universe,Full-time schedules,1,0,7,Single,Not in universe,Utah,Secondary individual,Nonrelative of householder,Not in universe under 1 year old,6,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,25,95,0
52, Not in universe,0,0, High school graduate,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,2,0,4, Head of household, Not in universe,North Carolina, Householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
49, Self-employed-not incorporated,36,35, 12th grade no diploma,0, Not in universe, Never married, Private household services, Precision production craft & repair, White, Central or South American, Male, No, Not in universe, Children or Armed Forces,0,0,2, Joint both under 65, Not in universe,Tennessee, Householder, Householder, Yes,1, Not in universe, Panama,Nicaragua, Honduras, Foreign born- Not a citizen of U S ,0, Not in universe,2,49,94,0
51, Private,44,17, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Other professional services, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,2798, Joint both under 65, Not in universe,Texas, Spouse of householder, Spouse of householder, Not in universe under 1 year old,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,1
43, Not in universe,44,0, 10th grade,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Full-time schedules,11,0,0, Nonfiler, Not in universe,West Virginia, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
23,Private,39,2,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Communications,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Unemployed full-time,0,0,5,Joint both under 65,Not in universe,Oklahoma,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,1,Not in universe,2,52,95,0
51, Private,3,37, High school graduate,0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Yes, Not in universe, Full-time schedules,3,0,5, Joint both under 65, Not in universe,Maine, Nonfamily householder, Householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,18,95,0
16, Private,12,36, High school graduate,0, High school, Never married, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, Black, All other, Female,Yes, Not in universe, Full-time schedules,6,0,10, Single, Not in universe,North Carolina, Child 18+ never marr Not in a subfamily, Nonrelative of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,1
52,Local government,49,9,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Public administration,Professional specialty,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,7567,1875,4655,Joint both under 65,Not in universe,Illinois,Householder,Householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
55,Private,29,38,High school graduate,0,Not in universe,Married-civilian spouse present,Utilities and sanitary services, Private household services,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,7460,0,3,Joint both under 65,Not in universe,Connecticut,Householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,No,2,49,94,0
45,Private,41,9,Prof school degree (MD DDS DVM LLB JD),0,Not in universe,Never married,Education,Professional specialty,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,245,Single,Not in universe,Louisiana,Nonfamily householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,1
54,Private,35,26,Associates degree-occup /vocational,0,Not in universe,Married-civilian spouse present,Hospital services,Professional specialty,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,1,3,Joint both under 65,Not in universe,Mississippi,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
17,Not in universe,0,0,Some college but no degree,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,6,Nonfiler,Not in universe,Maryland,Child 18+ never marr RP of subfamily,Other relative of householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
49,Not in universe,0,0,Associates degree-academic program,1,Not in universe,Widowed,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,1,0,0,Head of household,Not in universe,Michigan,Householder,Householder,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
15, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, Other Spanish, Female, Not in universe, Not in universe, Not in labor force,9,0,1, Nonfiler, Not in universe,Ohio, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Dominican-Republic, Nicaragua, England, Foreign born- Not a citizen of U S ,0, Not in universe,0,0,95,0
14,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,Puerto Rican,Female,Not in universe,Not in universe,Not in labor force,1,0,8,Nonfiler,Not in universe,South Carolina,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,Puerto-Rico,Puerto-Rico,Puerto-Rico,Native- Born in Puerto Rico or U S Outlying,0,Not in universe,0,0,95,0
51, Private,30,39, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,1,0,3, Joint both under 65, Not in universe,Oregon, Householder, Householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
36,Private,29,11,Prof school degree (MD DDS DVM LLB JD),0,Not in universe,Married-civilian spouse present,Other professional services,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,4568,0,6,Joint both under 65,Not in universe,Texas,Householder,Householder,Yes,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,1
12, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,2, Nonfiler, Not in universe,Delaware, Child <18 never marr not in subfamily, Child under 18 never married, Yes,0, Both parents present,Taiwan, El-Salvador, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
41,Private,35,16,High school graduate,1,Not in universe,Married-civilian spouse present,Personal services except private HH,Precision production craft & repair,White,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,1,0,7,Joint both under 65,Not in universe,South Carolina,Householder,Householder,Yes,2,Not in universe,Mexico,,Poland,Foreign born- Not a citizen of U S,0,Not in universe,2,25,94,0
15,Not in universe,0,0,11th grade,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,Amer Indian Aleut or Eskimo,All other,Female,Not in universe,Not in universe,Children or Armed Forces,1,0,3,Joint both under 65,Not in universe,New Hampshire,Spouse of householder,Spouse of householder,No,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
20, Private,33,34, High school graduate,0, College or university, Never married, Retail trade, Other service, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,5, Single, Not in universe,South Dakota, Child 18+ never marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,10,95,0
21, Private,33,19, Some college but no degree,0, Not in universe, Never married, Retail trade, Sales, White, All other, Male, Not in universe, Other job loser, Full-time schedules,0,0,1, Single, Not in universe,Utah, Nonfamily householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,38,95,0
4, Not in universe,0,0, 7th and 8th grade,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,3,0,5, Nonfiler, Not in universe,Delaware, Child <18 never marr not in subfamily, Child under 18 never married, Yes,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
12,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,All other,Male,Not in universe,Not in universe,Not in labor force,1,0,11,Nonfiler,Not in universe,Rhode Island,Secondary individual,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,Philippines,Philippines,Philippines,Foreign born- Not a citizen of U S,0,Not in universe,0,0,95,0
15,Private,12,34,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Never married,Manufacturing-nondurable goods,Precision production craft & repair,White,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Single,Not in universe,Indiana,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,5,Not in universe,Panama,Iran,,Foreign born- Not a citizen of U S,0,Not in universe,2,52,94,0
7,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,Black,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,1,Nonfiler,Not in universe,New Jersey,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,,Hong Kong,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
15,Private,32,42,Associates degree-occup /vocational,0,College or university,Never married,Retail trade,Handlers equip cleaners etc,White,All other,Male,Not in universe,Not in universe,Unemployed full-time,0,0,7,Single,Not in universe,Florida,Other Rel 18+ never marr not in subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
86,Not in universe,0,0,High school graduate,0,Not in universe,Widowed,Not in universe or children,Not in universe,White,Other Spanish,Female,Not in universe,Not in universe,Children or Armed Forces,2,0,6,Nonfiler,Not in universe,Idaho,Other Rel 18+ ever marr not in subfamily,Spouse of householder,Yes,0,Not in universe,Columbia,,Dominican-Republic,Native- Born in the United States,0,Not in universe,2,0,94,0
63, Private,44,10, High school graduate,0, Not in universe, Married-civilian spouse present, Mining, Professional specialty, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,8,0,2, Joint both under 65, Not in universe,Georgia, Householder, Householder, Yes,6, Not in universe, Germany, ?, United-States, Foreign born- U S citizen by naturalization,0, Not in universe,2,17,94,0
69, Not in universe,0,0, 5th or 6th grade,0, Not in universe, Married-civilian spouse present, Medical except hospital, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Not in labor force,1,0,10, Joint both under 65, Not in universe,Vermont, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, ?, ?, ?, Foreign born- U S citizen by naturalization,0, Not in universe,2,25,95,0
34,Private,30,34,High school graduate,0,Not in universe,Separated,Manufacturing-durable goods,Transportation and material moving,Amer Indian Aleut or Eskimo,All other,Male,Not in universe,Re-entrant,Children or Armed Forces,8,0,2,Head of household,Not in universe,North Dakota,Householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,38,94,0
53, Private,25,36, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Adm support including clerical, White, Puerto Rican, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,1, Joint both under 65, Not in universe,Arizona, Spouse of householder, Spouse of householder, Yes,5, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,18,94,0
42, Local government,49,12, Prof school degree (MD DDS DVM LLB JD),1819, Not in universe, Never married, Public administration, Professional specialty, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,4,0,7, Single, Not in universe,Iowa, Nonfamily householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,1
15,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Mexican-American,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,8,Nonfiler,Not in universe,Arkansas,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
35,Federal government,48,2,Some college but no degree,0,College or university,Never married,Public administration,Executive admin and managerial,White,All other,Male, Yes,Not in universe,Children or Armed Forces,0,0,7,Single,Not in universe,Alabama,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,6,Not in universe,South Korea,Guatemala,Nicaragua,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,94,0
74, Not in universe,0,0, 10th grade,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,4,0,1, Nonfiler, Not in universe,New Hampshire, Householder, Householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
40, Private,3,10, High school graduate,0, Not in universe, Married-civilian spouse present, Construction, Handlers equip cleaners etc , White, All other, Male, No, Not in universe, Full-time schedules,16,0,1, Joint both under 65, Not in universe,New Hampshire, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
54,Private,0,0,High school graduate,0,Not in universe,Married-civilian spouse present,Utilities and sanitary services,Sales,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Joint both under 65,Not in universe,Hawaii,Spouse of householder,Spouse of householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
13,Not in universe,28,0,Some college but no degree,0,College or university,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,7,0,5,Single,Not in universe,Maryland,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,1,Not in universe,2,19,95,0
20, Private,33,19, 11th grade,0, High school, Never married, Retail trade, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules,1,0,4, Nonfiler, Not in universe,Oregon, Nonfamily householder, Child under 18 never married, Not in universe under 1 year old,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,0,95,0
19,Not in universe,36,34,Some college but no degree,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,4,Nonfiler,Not in universe,Georgia,Other Rel 18+ never marr not in subfamily,Child under 18 never married,Yes,0,Not in universe,Columbia, Columbia, Holand-Netherlands,Foreign born- Not a citizen of U S,0,Not in universe,2,0,94,0
11,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,3,0,0,Nonfiler,Not in universe,New York,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
35, Private,25,36, High school graduate,1762, Not in universe, Never married, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, All other, Female, No, Not in universe, Full-time schedules,3,0,4, Joint both under 65, Not in universe,Idaho, Secondary individual, Nonrelative of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,47,95,0
15, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe,Texas, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,25,94,0
46,Private,40,10,Bachelors degree(BA AB BS),0,Not in universe,Married-civilian spouse present,Education,Professional specialty,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,1,3,Joint both under 65,Not in universe,Connecticut,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
82,Not in universe,0,0,High school graduate,0,Not in universe,Widowed,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,0,0,3,Single,Not in universe,Wisconsin,Nonfamily householder,Householder,Yes,0,Not in universe,Cuba,Italy,Cuba,Foreign born- U S citizen by naturalization,0,Not in universe,2,0,95,0
21,Not in universe,0,0,Some college but no degree,0,College or university,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,1,Nonfiler,Abroad,South Dakota,Child 18+ never marr Not in a subfamily,Child 18 or older,No,0,Not in universe,Nicaragua,, France,Native- Born abroad of American Parent(s),0,Not in universe,2,0,94,0
63,Private,37,17,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Sales,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,6,0,0,Joint both under 65,Not in universe,Colorado,Householder,Householder,Yes,1,Not in universe, Cuba,Ireland,,Foreign born- U S citizen by naturalization,0,Not in universe,2,5,94,0
7,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,6,0,5,Nonfiler,Northeast,Arizona,Child <18 never marr not in subfamily,Child under 18 never married,No,0,Both parents present,United-States,Peru,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
25,Self-employed-incorporated,33,32,10th grade,539,Not in universe,Married-civilian spouse present,Retail trade,Other service,White,All other,Male,Yes,Not in universe,Children or Armed Forces,0,0,3,Joint both under 65,Not in universe,Pennsylvania,Householder,Householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,25,94,0
52, Not in universe,0,0, Associates degree-occup /vocational,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,3, Joint both 65+, Not in universe,Louisiana, Spouse of householder, Spouse of householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
62,Private,11,36,Some college but no degree,1445,Not in universe,Married-civilian spouse present,Communications,Precision production craft & repair,White,Mexican (Mexicano),Male,Not in universe,Not in universe,Children or Armed Forces,0,0,4,Joint both under 65,Not in universe,Illinois,Householder,Householder,Yes,6,Not in universe,United-States,Mexico,Mexico,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,94,0
39,Private,43,25,Some college but no degree,0,Not in universe,Married-civilian spouse present,Retail trade,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,PT for non-econ reasons usually FT,0,0,6,Joint both under 65,Not in universe,Oklahoma,Spouse of householder,Spouse of householder,Yes,1,Not in universe,Cambodia,Greece,United-States,Native- Born abroad of American Parent(s),0,Not in universe,2,18,94,0
58,Private,36,33,5th or 6th grade,0,Not in universe,Widowed,Personal services except private HH,Other service,White,Mexican (Mexicano),Male,Not in universe,Not in universe,Full-time schedules,6,0,4,Single,Not in universe,Kansas,Householder,Householder,Not in universe under 1 year old,4,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,52,95,0
28,Private,33,34,High school graduate,0,Not in universe,Never married,Retail trade,Precision production craft & repair,White,Mexican-American,Female,No,Not in universe,Full-time schedules,0,0,5,Single,Not in universe,Kentucky,Other Rel 18+ never marr not in subfamily,Other relative of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
17,Private,43,37,High school graduate,0,Not in universe,Married-civilian spouse present,Education,Precision production craft & repair,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,3,0,3,Joint both under 65,Not in universe,Kansas,Spouse of householder,Child 18 or older,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,10,94,0
24,Private,33,19,Some college but no degree,0,Not in universe,Divorced,Retail trade,Sales,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,5,0,4,Joint both under 65,Not in universe,Rhode Island,Householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
8, Private,0,0, High school graduate,0, College or university, Never married, Social services, Not in universe, White, All other, Female, Not in universe, Other job loser, Children or Armed Forces,0,0,6, Single, Not in universe,North Carolina, Child 18+ never marr Not in a subfamily, Child 18 or older, Yes,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,26,94,0
47, Self-employed-not incorporated,3,36, 10th grade,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Precision production craft & repair, White, All other, Male, No, Not in universe, Children or Armed Forces,0,1699,1, Joint both under 65, Not in universe,Nevada, Householder, Householder, Yes,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,40,94,0
40, Not in universe,0,0, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White,Cuban, Male, Not in universe, Not in universe, Children or Armed Forces,8,0,0, Joint both under 65, Northeast,Kansas, Householder, Householder, No,6, Not in universe, Poland, Taiwan, Puerto-Rico, Foreign born- Not a citizen of U S ,0, Not in universe,2,36,94,0
56,Private,30,30,High school graduate,1,Not in universe,Married-civilian spouse present,Transportation,Protective services,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,5,Joint both under 65,Not in universe,Oregon,Householder,Householder,Yes,6,Not in universe,United-States,,,Native- Born abroad of American Parent(s),0,Not in universe,2,40,94,0
9, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,1,0,3, Nonfiler, Northeast,Kansas, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Both parents present, United-States, Ireland, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
23,Private,38,27,High school graduate,0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Executive admin and managerial,White,Puerto Rican,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Joint both under 65,Not in universe,North Carolina,Householder,Householder,Yes,6,Not in universe,Canada,Cuba,,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,94,0
16,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,4,Nonfiler,Not in universe,Montana,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
8, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, Central or South American, Male, Not in universe, Not in universe, Children or Armed Forces,14,0,5, Nonfiler, Not in universe,Florida, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Columbia, ?, Philippines, Native- Born abroad of American Parent(s),0, Not in universe,0,0,95,0
