age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
33, Private,10,2, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present,  manUfacturing-durable gOods, Executive admin and managerial, Other, All other, Male, No, Not in universe, Full-time schedules,0,0,4, Joint both under 65, Not in universe,Montana, Householder, Householder, No,6, Not in universe, Philippines, South Korea, Hong Kong, Foreign born- U S citizen by naturalization,0, Not in universe,2,48,94,1
64, Private,0,0, Bachelors degree(BA AB BS),0, Not in universe, Married-spouse absent,  nOt In univeRse Or childRen, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,5939, Single, Not in universe,Florida, Nonfamily householder, Householder, Not in universe under 1 year old,1, Not in universe, United-States, ?, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
41, Self-employed-incorporated,40,27, High school graduate,0, Not in universe, Married-civilian spouse present,  finAnce insuRance aNd reAl estaTe, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,10, Joint both under 65, Not in universe,Nebraska, Spouse of householder, Spouse of householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,19,94,0
18,Not in universe,0,0,11th grade,0,Not in universe,Never married, nOt In univerSe Or chiLdren,Not in universe,Black,Central or South American,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Nonfiler,Not in universe,Nebraska, Grandchild <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,Haiti,Dominican-Republic,United-States,Foreign born- Not a citizen of U S,0,Not in universe,2,0,95,0
52,Private,3,34,Some college but no degree,856,Not in universe,Married-civilian spouse present, conStruction,Other service,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,5,Joint both under 65,Not in universe,Georgia,Householder,Householder,Not in universe under 1 year old,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,No,1,52,95,0
38,Private,3,34,5th or 6th grade,0,Not in universe,Divorced, constRuction,Precision production craft & repair,White,Central or South American,Male,Not in universe,Job loser - on layoff,Children or Armed Forces,6,0,3,Single,Not in universe,Pennsylvania,Householder,Householder,Yes,2,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,25,94,0
78, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present,  nOt In univerSe Or chilDren, Not in universe, White,, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,2, Joint both under 65, Not in universe,Montana, Householder, Householder, Yes,0, Not in universe, El-Salvador, Poland, Ecuador, Native- Born in the United States,0, Not in universe,2,0,94,0
62,Private,42,36,High school graduate,0,Not in universe,Married-civilian spouse present, hoSpital servicEs,Professional specialty,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,6,Joint both under 65,Not in universe,Virginia,Spouse of householder,Spouse of householder,Yes,6,Not in universe,Cuba,Mexico,United-States,Native- Born in the United States,0,Not in universe,2,38,94,1
65, Not in universe,0,0, Associates degree-occup /vocational,1, Not in universe, Married-civilian spouse present,  nOt In uniVerse Or chiLdren, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,8,0,3, Joint both under 65, Not in universe,New Mexico, Householder, Spouse of householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
11,Not in universe,0,0,Children,0,Not in universe,Never married, nOt In univerSe Or childRen,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,4,0,4,Nonfiler,Not in universe,Rhode Island,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
55, Private,35,25, High school graduate,0, Not in universe, Married-civilian spouse present,  pRivate houSehold serVices, Protective services, White, Central or South American, Female, Not in universe, Not in universe, Full-time schedules,0,0,4, Joint both under 65, Not in universe,South Dakota, Spouse of householder, Spouse of householder, Not in universe under 1 year old,5, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,0
51, Private,43,26, High school graduate,0, Not in universe, Widowed,  busIness aNd rePair sErvices,Private household services, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,2, Single, Not in universe,Utah, Nonfamily householder, Householder, Not in universe under 1 year old,5, Not in universe, Italy, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
44,Private,33,2,High school graduate,1,Not in universe,Married-civilian spouse present, busIness aNd rEpair serviCes,Sales,White,Mexican (Mexicano),Female,Not in universe,Not in universe,Full-time schedules,4,0,2,Joint both under 65,Not in universe,Michigan,Spouse of householder,Spouse of householder,Not in universe under 1 year old,1,Not in universe,Mexico,Mexico,Mexico,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,1
5,Not in universe,0,0,Children,0,Not in universe,Never married, nOt In univeRse Or chiLdren,Not in universe,White,All other,Male,Not in universe,Not in universe,Not in labor force,15,0,6,Nonfiler,Not in universe,Illinois,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
38,Private,43,6,Prof school degree (MD DDS DVM LLB JD),0,Not in universe,Married-civilian spouse present, medIcal exCept hoSpital,Professional specialty,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,3,0,2,Joint both under 65,Not in universe,Colorado,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,37,94,1
46,Private,28,36,Some college but no degree,0,Not in universe,Never married, transportatiOn,Transportation and material moving,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,1,0,2,Single,Not in universe,Nebraska,Householder,Householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
53, Private,30,2, High school graduate,0, Not in universe, Married-civilian spouse present,  manuFacturing-durable gooDs, Other service, White, All other, Female, Not in universe, Not in universe, Full-time schedules,2,0,8, Joint both under 65, Not in universe,Georgia, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,95,0
27,Private,42,33,Some college but no degree,0,Not in universe,Married-civilian spouse present, transPortation,Private household services,White,All other,Male,Not in universe,Other job loser,Full-time schedules,3,0,0,Joint both under 65,Not in universe,Georgia,Householder,Householder,Not in universe under 1 year old,2,Not in universe, Nicaragua,India,China,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,0
48,Private,32,13,Bachelors degree(BA AB BS),0,Not in universe,Married-civilian spouse present, eDucation,Sales,White,All other,Male,Not in universe,Not in universe,Full-time schedules,7491,0,6,Joint both under 65,Not in universe,South Dakota,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
23, Private,29,12, Doctorate degree(PhD EdD),0, Not in universe, Never married,  manufacturing-nondurabLe goOds, Machine operators assmblrs & inspctrs, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Full-time schedules,6,0,8, Joint both under 65, Not in universe,Massachusetts, Householder, Householder, Not in universe under 1 year old,2, Not in universe, Philippines, ?, Philippines, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,0
1, Not in universe,0,0, 10th grade,0, Not in universe, Never married,  nOt In univeRse Or childrEn, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Nonfiler, Northeast,Georgia, Grandchild <18 never marr not in subfamily, Other relative of householder, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
5, Private,33,30, High school graduate,0, Not in universe, Never married,  busIness aNd repAir servIces, Other service, White, All other, Female, Not in universe, Re-entrant, Children or Armed Forces,7,0,8, Single, South,Kansas, Child 18+ never marr Not in a subfamily, Child 18 or older, Yes,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,25,94,0
64, Private,48,3, High school graduate,0, Not in universe, Married-civilian spouse present,  nOt In uniVerse Or childrEn, Other service, White, All other, Male, Not in universe, Not in universe, PT for econ reasons usually PT,3,0,2315, Joint both 65+, Not in universe,Delaware, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
6,Not in universe,0,0,Children,0,Not in universe,Never married, nOt In uniVerse Or chIldren,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,10,0,7,Nonfiler,Not in universe,Maine,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
3,Not in universe,0,0,Children,1,Not in universe,Never married, nOt In unIverse Or chIldren,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,5,0,6,Nonfiler,Not in universe,Kansas,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
44,Private,24,36,5th or 6th grade,1549,Not in universe,Married-civilian spouse present, maNufacturing-nondurable goOds,Machine operators assmblrs & inspctrs,White,Mexican (Mexicano),Male,Not in universe,Re-entrant,Children or Armed Forces,0,0,6,Joint both under 65,Not in universe,Georgia,Householder,Householder,Yes,6,Not in universe,Mexico,Mexico,Mexico,Native- Born in the United States,0,Not in universe,2,52,94,0
47,Federal government,50,8,Bachelors degree(BA AB BS),0,Not in universe,Widowed, puBlic administrAtion,Professional specialty,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,0,7,Joint both under 65,Not in universe,Oklahoma,Nonfamily householder,Householder,Not in universe under 1 year old,2,Not in universe,Canada,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
49, Private,29,27, 12th grade no diploma,0, Not in universe, Married-civilian spouse present,  manufacturing-nondurabLe goOds, Adm support including clerical, White, Puerto Rican, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Joint both under 65, Not in universe,Hawaii, Householder, Householder, Yes,5, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,52,94,0
24,Not in universe,0,0,11th grade,0,High school,Never married, nOt In univErse Or chIldren,Not in universe,Black,All other,Male,Not in universe,Not in universe,Not in labor force,6,1,2,Nonfiler,Not in universe,Georgia,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
52,Private,30,38,High school graduate,0,Not in universe,Married-civilian spouse present, manufaCturing-nondurable gooDs,Machine operators assmblrs & inspctrs,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,6,0,3,Joint both under 65,Not in universe,Utah,Spouse of householder,Spouse of householder,Yes,4,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,1
19, Private,33,19, 10th grade,0, High school, Never married,  reTail traDe, Handlers equip cleaners etc , White, All other, Female, Not in universe, Re-entrant, Children or Armed Forces,2,0,7, Single, Northeast,Oklahoma, Child 18+ never marr Not in a subfamily, Child 18 or older, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,19,94,0
58,Private,30,37,High school graduate,0,Not in universe,Married-civilian spouse present, consTruction,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,5,0,0,Joint both under 65,Not in universe,Utah,Householder,Householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,0
49, Private,33,17, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present,  retAil trAde, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,2, Joint both under 65, Not in universe,Alabama, Spouse of householder, Spouse of householder, Yes,1, Not in universe, United-States, ?, United-States, Native- Born abroad of American Parent(s),0, Not in universe,2,52,94,0
51,Private,2,44,High school graduate,495,Not in universe,Married-civilian spouse present, agrIculture,Farming forestry and fishing,White,All other,Male,Not in universe,Not in universe,Full-time schedules,1,1,3,Joint both under 65,Not in universe,Arizona,Spouse of householder,Spouse of householder,Not in universe under 1 year old,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
2, Not in universe,0,0, Children,0, Not in universe, Never married,  nOt In uNiverse Or childRen, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,10,0,4, Nonfiler, Not in universe,Minnesota, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
60,Private,33,29,10th grade,0,High school,Never married, utiliTies aNd sanItary servicEs,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Joint both under 65,Not in universe,Maine,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,1,52,95,0
2,Not in universe,0,0,Children,1,Not in universe,Never married, nOt In unIverse Or chiLdren,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,6,0,3,Nonfiler,Not in universe,Mississippi,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
56, Self-employed-incorporated,35,11, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present,  busineSs aNd rEpair sErvices, Professional specialty, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Children or Armed Forces,7517,0,2397, Joint both under 65, West,Massachusetts, Householder, Householder, Yes,6, Not in universe,Ireland, Cuba, India, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,94,1
24, Private,28,34, High school graduate,0, Not in universe, Married-civilian spouse present,  manufacturing-durable gOods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,4, Joint both under 65, Not in universe,Oklahoma,Grandchild 18+ ever marr RP of subfamily, Spouse of householder, Not in universe under 1 year old,5, Not in universe, India, Mexico, Columbia, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,0
65,Private,37,25,10th grade,0,Not in universe,Married-civilian spouse present, retAil tRade,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Joint one under 65 & one 65+,Not in universe,California,Spouse of householder,Spouse of householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,19,94,0
16, Private,3,35, High school graduate,0, Not in universe, Never married,  personAl sErvices excePt pRivate Hh, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,9,0,6, Single, West,Texas, Secondary individual, Nonrelative of householder, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
55, Private,43,2, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present,  meDical eXcept hOspital, Professional specialty, White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Joint both under 65, Not in universe,Pennsylvania, Spouse of householder, Spouse of householder, Yes,6, Not in universe, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0, Not in universe,2,52,94,0
