parents,has_nurs,form,children,housing,finance,social,health,class
great_pret,less_proper,incomplete,3,convenient,inconv,slightly_prob, recoMmended,recommend
great_pret,proper,complete,more,convenient,inconv,slightly_prob, prioRity,recommend
usual,critical,foster,3,convenient,inconv,problematic, priOrity,recommend
usual,critical,completed,3,critical,convenient,problematic,noT_rEcom,not_recommend
great_pret,proper,incomplete,more,critical,inconv,nonprob, recOmmended,recommend
great_pret,proper,incomplete,more,convenient,convenient,slightly_prob, prioRity,recommend
great_pret,improper,foster,3,convenient,convenient,slightly_prob, recommEnded,recommend
pretentious,proper,complete,2,less_conv,convenient,problematic, prIority,recommend
great_pret,critical,incomplete,1,less_conv,convenient,nonprob, prioRity,recommend
pretentious,proper,foster,2,convenient,convenient,nonprob, rEcommended,recommend
pretentious,critical,completed,1,convenient,inconv,nonprob,noT_rEcom,not_recommend
great_pret,proper,incomplete,3,less_conv,convenient,slightly_prob, recOmmended,recommend
pretentious,proper,incomplete,1,less_conv,convenient,slightly_prob, prIority,recommend
pretentious,improper,incomplete,1,convenient,convenient,slightly_prob,noT_Recom,recommend
pretentious,critical,completed,2,convenient,convenient,nonprob, recoMmended,recommend
usual,very_crit,incomplete,more,convenient,inconv,slightly_prob,noT_Recom,not_recommend
great_pret,critical,complete,3,convenient,inconv,problematic, priOrity,recommend
pretentious,proper,complete,3,less_conv,convenient,nonprob, pRiority,recommend
usual,very_crit,incomplete,1,convenient,convenient,nonprob, prioRity,recommend
usual,critical,complete,2,convenient,convenient,nonprob,noT_rEcom,not_recommend
usual,critical,completed,more,less_conv,convenient,problematic,noT_Recom,not_recommend
usual,critical,complete,2,critical,convenient,slightly_prob, recommeNded,recommend
usual,less_proper,incomplete,more,convenient,inconv,nonprob,noT_reCom,not_recommend
pretentious,critical,completed,more,less_conv,convenient,slightly_prob,noT_rEcom,not_recommend
great_pret,critical,incomplete,2,critical,convenient,nonprob, priorIty,recommend
usual,critical,completed,1,convenient,convenient,slightly_prob, recomMended,recommend
usual,critical,completed,3,critical,convenient,slightly_prob, priorIty,not_recommend
usual,critical,foster,1,convenient,convenient,problematic, priOrity,recommend
pretentious,proper,foster,2,convenient,convenient,slightly_prob, recommendEd,recommend
great_pret,less_proper,foster,more,convenient,convenient,slightly_prob, recommendEd,recommend
usual,improper,foster,1,convenient,convenient,nonprob, pRiority,recommend
pretentious,critical,incomplete,2,critical,convenient,nonprob, prioriTy,recommend
pretentious,critical,completed,1,critical,inconv,slightly_prob, pRiority,recommend
pretentious,proper,foster,2,convenient,convenient,problematic,noT_recOm,not_recommend
pretentious,proper,completed,3,critical,convenient,slightly_prob, reCommended,recommend
pretentious,critical,complete,3,convenient,convenient,problematic, recommendEd,recommend
pretentious,critical,foster,3,less_conv,inconv,slightly_prob, priOrity,recommend
great_pret,less_proper,incomplete,more,less_conv,inconv,nonprob,noT_Recom,not_recommend
great_pret,very_crit,incomplete,more,convenient,convenient,nonprob, priorIty,recommend
usual,critical,complete,more,convenient,convenient,problematic,noT_recOm,not_recommend
usual,less_proper,incomplete,2,convenient,convenient,nonprob, recomMended,recommend
great_pret,less_proper,completed,more,less_conv,convenient,slightly_prob, prioriTy,not_recommend
pretentious,less_proper,foster,more,convenient,convenient,slightly_prob,noT_rEcom,not_recommend
pretentious,critical,completed,more,convenient,inconv,slightly_prob, pRiority,recommend
great_pret,critical,foster,1,convenient,convenient,slightly_prob,noT_reCom,not_recommend
pretentious,critical,incomplete,2,convenient,convenient,nonprob, recommenDed,recommend
pretentious,critical,complete,2,less_conv,convenient,problematic, recommenDed,recommend
usual,proper,foster,more,less_conv,inconv,slightly_prob, priOrity,recommend
great_pret,proper,complete,3,convenient,convenient,slightly_prob,noT_rEcom,not_recommend
great_pret,improper,completed,3,less_conv,convenient,problematic, prioRity,recommend
usual,critical,foster,1,convenient,convenient,nonprob,noT_Recom,not_recommend
usual,less_proper,incomplete,1,less_conv,convenient,nonprob,noT_recOm,not_recommend
pretentious,critical,complete,3,convenient,convenient,slightly_prob,noT_rEcom,not_recommend
pretentious,critical,incomplete,2,convenient,inconv,problematic,noT_rEcom,not_recommend
usual,critical,completed,more,critical,convenient,slightly_prob, prioriTy,recommend
great_pret,critical,complete,1,convenient,convenient,slightly_prob, reCommended,recommend
pretentious,critical,complete,2,convenient,convenient,nonprob, priOrity,recommend
great_pret,critical,incomplete,more,less_conv,inconv,slightly_prob, priorIty,recommend
great_pret,proper,complete,3,less_conv,convenient,slightly_prob,noT_recOm,not_recommend
usual,less_proper,complete,1,convenient,inconv,slightly_prob,noT_Recom,not_recommend
pretentious,proper,completed,more,convenient,inconv,slightly_prob,noT_recOm,not_recommend
pretentious,proper,incomplete,2,less_conv,inconv,problematic,noT_recOm,not_recommend
pretentious,very_crit,foster,3,less_conv,convenient,slightly_prob, recommenDed,recommend
pretentious,very_crit,completed,more,convenient,inconv,nonprob, priorIty,recommend
great_pret,proper,completed,more,critical,convenient,slightly_prob, prIority,recommend
pretentious,proper,complete,1,critical,convenient,slightly_prob,noT_rEcom,not_recommend
great_pret,critical,complete,1,convenient,convenient,problematic, prIority,recommend
great_pret,proper,incomplete,more,less_conv,convenient,slightly_prob, pRiority,recommend
great_pret,less_proper,incomplete,2,critical,inconv,slightly_prob,noT_rEcom,not_recommend
usual,improper,completed,more,convenient,inconv,problematic,noT_recOm,not_recommend
usual,less_proper,complete,3,convenient,convenient,nonprob, prioRity,recommend
great_pret,critical,completed,2,less_conv,inconv,problematic, priOrity,recommend
great_pret,proper,incomplete,3,less_conv,convenient,problematic,noT_reCom,not_recommend
great_pret,critical,complete,more,less_conv,convenient,slightly_prob, prioRity,recommend
pretentious,proper,completed,more,critical,convenient,slightly_prob, reCommended,recommend
great_pret,less_proper,foster,more,critical,convenient,slightly_prob, recommEnded,recommend
pretentious,very_crit,incomplete,more,less_conv,convenient,nonprob, prioRity,recommend
pretentious,less_proper,complete,more,less_conv,inconv,slightly_prob, priorIty,recommend
usual,critical,incomplete,1,convenient,convenient,nonprob,noT_Recom,not_recommend
usual,critical,incomplete,3,less_conv,inconv,problematic, priOrity,recommend
great_pret,critical,foster,1,less_conv,inconv,problematic, rEcommended,recommend
great_pret,proper,incomplete,1,critical,convenient,nonprob, recommEnded,recommend
great_pret,improper,incomplete,more,convenient,convenient,nonprob, prioRity,recommend
pretentious,critical,completed,more,less_conv,convenient,slightly_prob, priorIty,not_recommend
pretentious,critical,incomplete,1,critical,convenient,nonprob, recommEnded,recommend
great_pret,less_proper,incomplete,2,convenient,convenient,slightly_prob,noT_rEcom,not_recommend
pretentious,proper,foster,2,convenient,inconv,problematic,noT_reCom,not_recommend
usual,critical,foster,more,less_conv,convenient,nonprob, prioriTy,recommend
great_pret,very_crit,completed,3,critical,inconv,slightly_prob,noT_Recom,not_recommend
pretentious,less_proper,completed,2,convenient,convenient,problematic,noT_reCom,not_recommend
great_pret,improper,complete,3,critical,inconv,nonprob,noT_Recom,not_recommend
great_pret,proper,incomplete,3,less_conv,convenient,problematic, recommEnded,recommend
great_pret,less_proper,complete,2,critical,convenient,slightly_prob,noT_Recom,not_recommend
great_pret,proper,incomplete,more,convenient,convenient,slightly_prob, prIority,recommend
pretentious,less_proper,completed,3,critical,inconv,slightly_prob, priOrity,recommend
great_pret,proper,incomplete,more,convenient,convenient,problematic, prioriTy,recommend
great_pret,less_proper,foster,1,convenient,convenient,slightly_prob, prioRity,recommend
usual,improper,incomplete,1,convenient,inconv,problematic,noT_reCom,not_recommend
pretentious,improper,foster,1,less_conv,convenient,problematic, prIority,recommend
pretentious,very_crit,completed,2,critical,convenient,nonprob, prioRity,recommend
pretentious,less_proper,complete,1,convenient,convenient,slightly_prob,noT_rEcom,not_recommend
pretentious,less_proper,incomplete,2,convenient,convenient,slightly_prob, prIority,not_recommend
usual,critical,incomplete,2,convenient,convenient,slightly_prob, prioriTy,recommend
pretentious,critical,foster,more,convenient,inconv,problematic, priOrity,recommend
great_pret,critical,complete,more,convenient,inconv,slightly_prob,noT_recOm,not_recommend
usual,less_proper,foster,3,convenient,inconv,problematic,noT_recOm,not_recommend
great_pret,proper,complete,1,convenient,convenient,nonprob,noT_reCom,not_recommend
great_pret,proper,foster,2,convenient,convenient,slightly_prob,noT_rEcom,not_recommend
great_pret,critical,incomplete,1,less_conv,inconv,slightly_prob, priOrity,recommend
usual,improper,foster,1,convenient,inconv,slightly_prob, prIority,recommend
pretentious,improper,complete,2,convenient,inconv,slightly_prob,noT_rEcom,not_recommend
pretentious,critical,complete,more,critical,convenient,slightly_prob,noT_Recom,not_recommend
great_pret,improper,incomplete,1,convenient,inconv,nonprob,noT_rEcom,not_recommend
great_pret,proper,foster,3,critical,inconv,slightly_prob, rEcommended,recommend
pretentious,improper,foster,1,convenient,convenient,slightly_prob, recomMended,recommend
great_pret,improper,incomplete,1,convenient,convenient,slightly_prob,noT_recOm,not_recommend
usual,proper,completed,3,critical,convenient,slightly_prob, recommendEd,recommend
great_pret,proper,incomplete,2,less_conv,convenient,slightly_prob, pRiority,recommend
great_pret,less_proper,foster,more,convenient,convenient,slightly_prob, prIority,recommend
great_pret,less_proper,incomplete,more,critical,inconv,problematic,noT_recOm,not_recommend
great_pret,critical,incomplete,more,convenient,convenient,nonprob,noT_rEcom,not_recommend
pretentious,critical,incomplete,2,less_conv,convenient,slightly_prob,noT_reCom,not_recommend
pretentious,proper,completed,1,convenient,convenient,problematic, recommendEd,recommend
great_pret,less_proper,incomplete,more,less_conv,convenient,problematic,noT_reCom,not_recommend
great_pret,proper,incomplete,3,less_conv,convenient,slightly_prob, priorIty,recommend
pretentious,very_crit,incomplete,more,critical,convenient,slightly_prob, pRiority,recommend
great_pret,very_crit,incomplete,2,convenient,convenient,slightly_prob,noT_recOm,not_recommend
great_pret,improper,completed,1,convenient,inconv,slightly_prob,noT_reCom,not_recommend
great_pret,critical,incomplete,3,less_conv,convenient,problematic, recommeNded,recommend
great_pret,critical,completed,more,less_conv,inconv,slightly_prob,noT_reCom,not_recommend
pretentious,critical,foster,3,less_conv,convenient,slightly_prob,noT_reCom,not_recommend
usual,critical,incomplete,1,less_conv,inconv,problematic,noT_rEcom,not_recommend
pretentious,less_proper,incomplete,1,convenient,inconv,slightly_prob, priorIty,recommend
great_pret,very_crit,completed,2,less_conv,inconv,slightly_prob,noT_recOm,not_recommend
great_pret,very_crit,foster,1,convenient,convenient,nonprob,noT_reCom,not_recommend
great_pret,critical,foster,more,less_conv,convenient,problematic, recommeNded,recommend
pretentious,critical,complete,more,critical,convenient,problematic,noT_rEcom,not_recommend
usual,critical,complete,2,convenient,convenient,slightly_prob,noT_Recom,not_recommend
usual,less_proper,complete,2,critical,inconv,slightly_prob,noT_Recom,not_recommend
pretentious,proper,incomplete,2,convenient,inconv,slightly_prob, recommenDed,recommend
great_pret,less_proper,completed,2,convenient,convenient,nonprob, prIority,recommend
usual,critical,foster,1,convenient,inconv,nonprob, recommendEd,recommend
usual,proper,complete,1,convenient,convenient,nonprob, recommEnded,recommend
great_pret,proper,incomplete,more,convenient,inconv,nonprob, prioriTy,recommend
great_pret,less_proper,completed,2,convenient,inconv,slightly_prob,noT_reCom,not_recommend
great_pret,critical,incomplete,more,less_conv,convenient,slightly_prob, priOrity,recommend
pretentious,very_crit,foster,more,convenient,convenient,nonprob, priOrity,recommend
great_pret,improper,incomplete,more,critical,convenient,nonprob, pRiority,recommend
pretentious,less_proper,incomplete,1,convenient,convenient,problematic, priorIty,recommend
usual,critical,foster,2,convenient,inconv,problematic, priOrity,recommend
pretentious,less_proper,completed,3,critical,inconv,problematic, priOrity,recommend
pretentious,proper,completed,more,convenient,convenient,slightly_prob,noT_rEcom,not_recommend
usual,very_crit,foster,2,critical,convenient,slightly_prob, prioriTy,recommend
great_pret,improper,incomplete,more,less_conv,convenient,slightly_prob, priOrity,recommend
great_pret,critical,complete,1,critical,inconv,problematic,noT_reCom,not_recommend
usual,critical,completed,2,convenient,inconv,problematic, priOrity,recommend
pretentious,very_crit,completed,more,critical,convenient,problematic, prioRity,recommend
great_pret,proper,complete,3,critical,inconv,slightly_prob, prIority,recommend
usual,proper,incomplete,1,convenient,inconv,slightly_prob, reCommended,recommend
great_pret,proper,complete,2,convenient,inconv,problematic,noT_rEcom,not_recommend
usual,very_crit,completed,1,less_conv,convenient,problematic, prioriTy,recommend
usual,proper,foster,3,convenient,convenient,slightly_prob, prioriTy,recommend
usual,critical,foster,more,critical,convenient,slightly_prob, recOmmended,recommend
great_pret,critical,completed,1,convenient,convenient,nonprob, rEcommended,recommend
pretentious,very_crit,completed,1,less_conv,convenient,problematic, prIority,recommend
usual,critical,foster,1,convenient,convenient,nonprob,noT_reCom,not_recommend
pretentious,very_crit,incomplete,1,less_conv,convenient,slightly_prob,noT_rEcom,not_recommend
usual,very_crit,completed,1,critical,convenient,nonprob, recommenDed,recommend
usual,critical,complete,3,convenient,inconv,problematic, prioriTy,recommend
usual,improper,completed,more,less_conv,inconv,nonprob,noT_recOm,not_recommend
pretentious,proper,complete,2,convenient,convenient,slightly_prob, priOrity,not_recommend
great_pret,critical,incomplete,more,critical,convenient,slightly_prob, prioRity,recommend
great_pret,critical,incomplete,2,convenient,inconv,nonprob,noT_rEcom,not_recommend
usual,critical,complete,more,convenient,inconv,problematic,noT_reCom,recommend
great_pret,proper,foster,more,convenient,inconv,nonprob, prioriTy,recommend
usual,critical,incomplete,3,critical,convenient,nonprob, recommenDed,recommend
usual,critical,incomplete,more,critical,convenient,slightly_prob, prioRity,recommend
great_pret,critical,complete,more,convenient,convenient,slightly_prob, prioRity,recommend
pretentious,very_crit,incomplete,3,convenient,inconv,slightly_prob,noT_rEcom,not_recommend
usual,critical,complete,3,convenient,inconv,slightly_prob,noT_rEcom,not_recommend
pretentious,very_crit,completed,more,critical,convenient,problematic, prIority,recommend
great_pret,critical,foster,1,critical,inconv,slightly_prob, recommEnded,recommend
great_pret,very_crit,completed,2,critical,inconv,nonprob, recomMended,recommend
pretentious,improper,incomplete,2,convenient,convenient,problematic, prIority,recommend
usual,less_proper,complete,3,less_conv,convenient,nonprob, rEcommended,recommend
great_pret,critical,completed,3,less_conv,inconv,slightly_prob,noT_reCom,not_recommend
great_pret,critical,complete,more,convenient,inconv,nonprob, prIority,recommend
great_pret,improper,incomplete,2,convenient,convenient,nonprob, priOrity,recommend
usual,less_proper,incomplete,more,critical,convenient,problematic,noT_Recom,not_recommend
pretentious,critical,incomplete,2,convenient,inconv,slightly_prob,noT_rEcom,not_recommend
pretentious,less_proper,completed,more,critical,convenient,slightly_prob, prioRity,recommend
great_pret,less_proper,completed,more,less_conv,inconv,problematic, pRiority,recommend
great_pret,proper,incomplete,2,convenient,inconv,slightly_prob,noT_recOm,not_recommend
pretentious,critical,incomplete,2,critical,convenient,slightly_prob, reCommended,recommend
great_pret,critical,incomplete,more,convenient,inconv,slightly_prob, prIority,recommend
great_pret,proper,foster,more,convenient,convenient,nonprob, pRiority,recommend
usual,improper,incomplete,2,critical,convenient,slightly_prob, prIority,recommend
usual,very_crit,foster,more,critical,convenient,nonprob, recoMmended,recommend
usual,proper,foster,3,convenient,convenient,slightly_prob, reCommended,recommend
great_pret,less_proper,incomplete,2,convenient,convenient,problematic,noT_reCom,not_recommend
usual,very_crit,incomplete,1,critical,inconv,nonprob,noT_Recom,not_recommend
usual,proper,incomplete,more,convenient,inconv,slightly_prob, recOmmended,recommend
pretentious,very_crit,completed,more,convenient,convenient,nonprob,noT_rEcom,not_recommend
usual,proper,foster,more,critical,convenient,slightly_prob, recommeNded,recommend
